file	fan_in	fan_out
petclinic-backend/src/main/java/victor/training/petclinic/PetClinicApplication.java	0	0
petclinic-backend/src/main/java/victor/training/petclinic/mapper/OwnerMapper.java	1	4
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetMapper.java	4	6
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetTypeMapper.java	1	3
petclinic-backend/src/main/java/victor/training/petclinic/mapper/SpecialtyMapper.java	3	2
petclinic-backend/src/main/java/victor/training/petclinic/mapper/UserMapper.java	1	2
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VetMapper.java	1	4
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VisitMapper.java	3	4
petclinic-backend/src/main/java/victor/training/petclinic/mcp/McpSecurity.java	1	0
petclinic-backend/src/main/java/victor/training/petclinic/mcp/McpTomcatCustomizer.java	0	0
petclinic-backend/src/main/java/victor/training/petclinic/mcp/PetClinicMcp.java	0	7
petclinic-backend/src/main/java/victor/training/petclinic/model/Owner.java	5	1
petclinic-backend/src/main/java/victor/training/petclinic/model/Pet.java	7	3
petclinic-backend/src/main/java/victor/training/petclinic/model/PetType.java	6	0
petclinic-backend/src/main/java/victor/training/petclinic/model/Role.java	2	1
petclinic-backend/src/main/java/victor/training/petclinic/model/Specialty.java	6	0
petclinic-backend/src/main/java/victor/training/petclinic/model/User.java	4	1
petclinic-backend/src/main/java/victor/training/petclinic/model/Vet.java	3	1
petclinic-backend/src/main/java/victor/training/petclinic/model/Visit.java	6	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/OwnerRepository.java	2	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/PetRepository.java	3	2
petclinic-backend/src/main/java/victor/training/petclinic/repository/PetTypeRepository.java	2	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/SpecialtyRepository.java	3	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/UserRepository.java	1	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/VetRepository.java	1	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/VisitRepository.java	3	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/package-info.java	0	0
petclinic-backend/src/main/java/victor/training/petclinic/rest/ApiExamples.java	6	0
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	0	16
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetRestController.java	0	5
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetTypeRestController.java	0	6
petclinic-backend/src/main/java/victor/training/petclinic/rest/RootRestController.java	0	0
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyFeed.java	2	2
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyFeedController.java	0	2
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyRestController.java	1	6
petclinic-backend/src/main/java/victor/training/petclinic/rest/UserRestController.java	0	5
petclinic-backend/src/main/java/victor/training/petclinic/rest/VetRestController.java	0	8
petclinic-backend/src/main/java/victor/training/petclinic/rest/VisitRestController.java	0	6
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/OwnerDto.java	2	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/OwnerFieldsDto.java	2	0
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetDto.java	4	2
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetFieldsDto.java	2	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetTypeDto.java	5	0
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetTypeFieldsDto.java	2	0
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/RoleDto.java	1	0
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/SpecialtyDto.java	4	0
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/UserDto.java	2	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VetDto.java	2	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VetFieldsDto.java	1	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VisitDto.java	3	0
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VisitFieldsDto.java	3	0
petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ExceptionControllerAdvice.java	0	2
petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ValidationErrorExtractor.java	1	0
petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ValidationErrorFieldExtractor.java	1	0
petclinic-backend/src/main/java/victor/training/petclinic/security/BasicAuthenticationConfig.java	0	0
petclinic-backend/src/main/java/victor/training/petclinic/security/CorsConfig.java	0	0
petclinic-backend/src/main/java/victor/training/petclinic/security/DisableSecurityConfig.java	0	0
petclinic-backend/src/main/java/victor/training/petclinic/security/Roles.java	0	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/ChatbotApp.java	0	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/Assistant.java	1	5
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/ChatHistory.java	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/JudgeGuard.java	1	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/LocalTools.java	1	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/OwnerJwtPrincipal.java	3	2
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RagIngestion.java	0	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RemoteToolsConfig.java	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/SecurityConfig.java	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/TokenCostMeter.java	1	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/diagram/AgentStateDiagram.java	0	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	1	10
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterController.java	0	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java	5	3
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaClient.java	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaFindings.java	2	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/HealthProbe.java	1	3
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/MetricsSnapshot.java	2	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/ProcessControl.java	4	2
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RealProcessControl.java	2	2
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RestartResult.java	2	2
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/Service.java	5	2
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/ServiceHealth.java	2	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/triage/PetTriageAgent.java	1	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/triage/TriageController.java	0	1
petclinic-database/src/main/java/ro/victorrentea/petclinic/db/NetworkLatencyProxy.java	1	0
petclinic-database/src/main/java/ro/victorrentea/petclinic/db/PostgresLauncher.java	0	1
